Old Name,New Name
legl_own,legal_ownership
house_cd,condition_post_eq
floor_pre,count_floors_pre_eq
floor_pos,count_floors_post_eq
age,age_building
pl_area,plinth_area_sq_ft
hgt_pre,height_ft_pre_eq
hgt_pos,height_ft_post_eq
surf_con,land_surface_condition
foundatn,foundation_type
roof,roof_type
gd_floor,ground_floor_type
up_floor,other_floor_type
positn,position
pln_conf,plan_configuration
collapse,damage_overall_collapse
leaning,damage_overall_leaning
adjbld_rsk,damage_overall_adjacent_building_risk
dm_fndtn1,damage_foundation_severe
dm_fndtn2,damage_foundation_moderate
dm_fndtn3,damage_foundation_insignificant
dm_roof1,damage_roof_severe
dm_roof2,damage_roof_moderate
dm_roof3,damage_roof_insignificant
corn_sep1,damage_corner_separation_severe
corn_sep2,damage_corner_separation_moderate
corn_sep3,damage_corner_separation_insignificant
diag_cr1,damage_diagonal_cracking_severe
diag_cr2,damage_diagonal_cracking_moderate
diag_cr3,damage_diagonal_cracking_insignificant
pl_fail1,damage_in_plane_failure_severe
pl_fail2,damage_in_plane_failure_moderate
pl_fail3,damage_in_plane_failure_insignificant
op_fail1,damage_out_of_plane_failure_severe
op_fail2,damage_out_of_plane_failure_moderate
op_fail3,damage_out_of_plane_failure_insignificant
op_fl_nl1,damage_out_of_plane_failure_walls_ncfr_severe
op_fl_nl2,damage_out_of_plane_failure_walls_ncfr_moderate
op_fl_nl3,damage_out_of_plane_failure_walls_ncfr_insignificant
dm_gabl1,damage_gable_failure_severe
dm_gabl2,damage_gable_failure_moderate
dm_gabl3,damage_gable_failure_insignificant
delam1,damage_delamination_failure_severe
delam2,damage_delamination_failure_moderate
delam3,damage_delamination_failure_insignificant
col_fail1,damage_column_failure_severe
col_fail2,damage_column_failure_moderate
col_fail3,damage_column_failure_insignificant
beam_fl1,damage_beam_failure_severe
beam_fl2,damage_beam_failure_moderate
beam_fl3,damage_beam_failure_insignificant
part_col1,damage_infill_partition_failure_severe
part_col2,damage_infill_partition_failure_moderate
part_col3,damage_infill_partition_failure_insignificant
str_case1,damage_staircase_severe
str_case2,damage_staircase_moderate
str_case3,damage_staircase_insignificant
parapet1,damage_parapet_severe
parapet2,damage_parapet_moderate
parapet3,damage_parapet_insignificant
clad_glz1,damage_cladding_glazing_severe
clad_glz2,damage_cladding_glazing_moderate
clad_glz3,damage_cladding_glazing_insignificant
gersk,has_geotechnical_risk
assd_ar,area_assessed
dm_grade,damage_grade
tech_sol,technical_solution_proposed
repair,has_repair_started
sec_use,has_secondary_use
fam_cn,count_families
