Old Name,New Name
gender,gender_household_head
age,age_household_head
Ishhd,is_respondent_household_head
rel_hres,respondent_relation_to_hhd_head
id_type,household_head_id_card_type
cast,caste_household
edu_levl,education_level_household_head
bank_acc,is_bank_account_present_in_household
poseq_shel,shelter_condition_household_post_eq
respreq,residence_household_pre_eq
resposq,residence_household_post_eq
eqid_typ,household_eq_id_type
income,income_level_household
hhd_size,size_household
death,has_death_occurred_last_12_months
death_cn,count_death_last_12_months
loss,has_injury_loss_occurred_last_12_months
loss_cn,count_injury_loss_last_12_months
edrop_tf,has_education_drop_occurred_last_12_months
edrop_cn,count_education_drop_last_12_months
pdrop_tf,has_pregnancy_treatment_drop_occurred_last_12_months
pdrop_cn,count_pregnancy_treatment_drop_last_12_months
vdrop_tf,has_vaccination_drop_occurred_last_12_months
vdrop_cn,count_vaccination_drop_last_12_months
oc_ch_tf,has_occupation_change_occurred_last_12_months
oc_ch_cn,count_occupation_change_last_12_months
h20_pre,source_water_pre_eq
h20_pos,source_water_post_eq
fir_pre,source_cooking_fuel_pre_eq
fir_pos,source_cooking_fuel_post_eq
lit_pre,source_light_pre_eq
lit_pos,source_light_post_eq
toilet_pre,type_toilet_pre_eq
toilet_pos,type_toilet_post_eq
respreqd,residence_district_household_head_pre_eq
resposqd,residence_district_household_head_post_eq
